"id","goalteam","changed_result","player_name","player_img","player_profile","status","time"
"26896","AT","1=1","P. Berger","https://thumb.resfu.com/img_data/players/small/287.jpg?size=37x&5","/jugador/2005/Patrik-Berger","goal","53'"
"26896","HT","1=2","David Unsworth","https://thumb.resfu.com/img_data/players/small/9382.jpg?size=37x&5","/jugador/2005/David-Unsworth","owngoal","87'"
"26895","AT","0=1","J. Cole","https://thumb.resfu.com/img_data/players/small/303.jpg?size=37x&5","/jugador/2005/J-Cole-303","goal","68'"
"26897","AT","0=0","G. Naysmith","https://thumb.resfu.com/img_data/players/small/9369.jpg?size=37x&5","/jugador/2005/G-Naysmith-9369","yellowbeforredcard","0'"
"26897","HT","1=0","M. Hudson","https://thumb.resfu.com/img_data/players/small/57214.jpg?size=37x&5","/jugador/2005/M-Hudson-57214","goal","9'"
"26897","AT","1=1","T. Gravesen","https://thumb.resfu.com/img_data/players/small/355.jpg?size=37x&5","/jugador/2005/Thomas-Gravesen","goal","19'"
"26897","AT","1=2","T. Gravesen","https://thumb.resfu.com/img_data/players/small/355.jpg?size=37x&5","/jugador/2005/Thomas-Gravesen","goal","62'"
"26897","AT","1=3","M. Bent","https://thumb.resfu.com/img_data/players/small/503.jpg?size=37x&5","/jugador/2005/Marcus-Bent","goal","82'"
"26898","HT","1=0","Andrew Cole","https://thumb.resfu.com/img_data/players/small/9461.jpg?size=37x&5","/jugador/2005/Andy-Cole","goal","5'"
"26898","HT","2=0","Andrew Cole","https://thumb.resfu.com/img_data/players/small/9461.jpg?size=37x&5","/jugador/2005/Andy-Cole","goal","82'"
"26899","AT","0=0","R. Dunne","https://thumb.resfu.com/img_data/players/small/120.jpg?size=37x&5","/jugador/2005/R-Dunne-120","yellowbeforredcard","0'"
"26899","AT","0=1","Nicolas Anelka","https://thumb.resfu.com/img_data/players/small/494.jpg?size=37x&5","/jugador/2005/N-Anelka-494","goal","45'"
"26899","HT","1=1","M. Baro","https://thumb.resfu.com/img_data/players/small/3316.jpg?size=37x&5","/jugador/2005/M-Baros-3316","goal","48'"
"26899","HT","2=1","S. Gerrard","https://thumb.resfu.com/img_data/players/small/349.jpg?size=37x&5","/jugador/2005/S-Gerrard-349","goal","75'"
"26900","AT","0=1","T. Atouba","https://thumb.resfu.com/img_data/players/small/29661.jpg?size=37x&5","/jugador/2005/T-Atouba-29661","goal","51'"
"26901","HT","1=0","D. Bellion","https://thumb.resfu.com/img_data/players/small/32722.jpg?size=37x&5","/jugador/2005/D-Bellion-32722","goal","32'"
"26901","HT","2=0","A. Smith","https://thumb.resfu.com/img_data/players/small/599.jpg?size=37x&5","/jugador/2005/A-Smith-599","goal","50'"
"26901","AT","2=1","Paul Mcveigh","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Paul-Mcveigh","goal","75'"
"26902","AT","0=1","O. Mellberg","https://thumb.resfu.com/img_data/players/small/189.jpg?size=37x&5","/jugador/2005/O-Mellberg-189","goal","4'"
"26902","HT","1=1","Neil Clement","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Neil-Clement","goal","38'"
"26903","HT","1=0","Thierry Henry","https://thumb.resfu.com/img_data/players/small/23567.jpg?size=37x&5","/jugador/2005/T-Henry-23567","goal","25'"
"26903","AT","1=1","J. Job","https://thumb.resfu.com/img_data/players/small/3369.jpg?size=37x&5","/jugador/2005/Joseph-Desire-Job","goal","43'"
"26903","AT","1=2","J. Hasselbaink","https://thumb.resfu.com/img_data/players/small/258278.jpg?size=37x&5","/jugador/2005/Hasselbaink-258278","goal","50'"
"26903","AT","1=3","F. Queudrue","https://thumb.resfu.com/img_data/players/small/222.jpg?size=37x&5","/jugador/2005/Franck-Queudrue","goal","53'"
"26903","HT","2=3","D. Bergkamp","https://thumb.resfu.com/img_data/players/small/9612.jpg?size=37x&5","/jugador/2005/Dennis-Bergkamp","goal","54'"
"26903","HT","3=3","J. Reyes","https://thumb.resfu.com/img_data/players/small/21983.jpg?size=37x&5","/jugador/2005/J-Reyes-21983","goal","65'"
"26903","HT","4=3","Robert Pirs","https://thumb.resfu.com/img_data/players/small/7462.jpg?size=37x&5","/jugador/2005/Robert-Pires","goal","65'"
"26903","HT","5=3","Thierry Henry","https://thumb.resfu.com/img_data/players/small/23567.jpg?size=37x&5","/jugador/2005/T-Henry-23567","goal","90'"
"26904","HT","1=0","E. Heskey","https://thumb.resfu.com/img_data/players/small/544.jpg?size=37x&5","/jugador/2005/E-Heskey-544","goal","8'"
"26905","AT","0=1","D. Drogba","https://thumb.resfu.com/img_data/players/small/529.jpg?size=37x&5","/jugador/2005/D-Drogba-529","goal","28'"
"26905","AT","0=2","Tiago","https://thumb.resfu.com/img_data/players/small/21162.jpg?size=37x&5","/jugador/2005/Tiago-21162","goal","72'"
"26906","HT","1=0","Thierry Henry","https://thumb.resfu.com/img_data/players/small/23567.jpg?size=37x&5","/jugador/2005/T-Henry-23567","goal","50'"
"26906","HT","2=0","C. Fbregas","https://thumb.resfu.com/img_data/players/small/27146.jpg?size=37x&5","/jugador/2005/C-Fabregas-27146","goal","58'"
"26906","HT","3=0","J. Reyes","https://thumb.resfu.com/img_data/players/small/21983.jpg?size=37x&5","/jugador/2005/J-Reyes-21983","goal","79'"
"26907","HT","1=0","Z. Gera","https://thumb.resfu.com/img_data/players/small/9624.jpg?size=37x&5","/jugador/2005/Z-Gera-9624","goal","3'"
"26907","AT","1=1","J. Defoe","https://thumb.resfu.com/img_data/players/small/524.jpg?size=37x&5","/jugador/2005/J-Defoe-524","goal","34'"
"26908","AT","0=1","M. Viduka","https://thumb.resfu.com/img_data/players/small/611.jpg?size=37x&5","/jugador/2005/Mark-Viduka","goal","54'"
"26908","AT","0=2","Szilrd Nmeth","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Szilard-Nemeth","goal","79'"
"26909","AT","0=1","Henrik Pedersen","https://thumb.resfu.com/media/img/avatar-player.jpg?size=37x","/jugador/2005/Henrik-Pedersen","goal","7'"
"26909","AT","0=2","J. Okocha","https://thumb.resfu.com/img_data/players/small/9595.jpg?size=37x&5","/jugador/2005/Jay-Jay-Okocha","goal","27'"
"26909","HT","1=2","P. Crouch","https://thumb.resfu.com/img_data/players/small/522.jpg?size=37x&5","/jugador/2005/P-Crouch-522","goal","85'"
"26910","HT","1=0","F. Jeffers","https://thumb.resfu.com/img_data/players/small/9471.jpg?size=37x&5","/jugador/2005/Francis-Jeffers","goal","29'"
"26910","HT","2=0","F. Jeffers","https://thumb.resfu.com/img_data/players/small/9471.jpg?size=37x&5","/jugador/2005/Francis-Jeffers","goal","34'"
